anime_id,name,genre,rating,member
5526,Pokemon: Pikachu no Natsuyasumi,"Comedy, Fantasy, Kids",6.86,19960
9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",5.94,141
11793,"Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode","Comedy, Drama, Slice of Life",7.44,5533
28305,Broots,"Mecha, Sci-Fi",5.41,132
14095,Kamen Rider Fourze x Crayon Shin-chan,"Action, Comedy, Kids, Shounen",6.27,440
452,InuYasha: Toki wo Koeru Omoi,"Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Super Power",7.69,51354
9243,Nine 2: Koibito Sengen,"Action, School, Sports",6.55,151
19133,Turning Girls,"Comedy, Slice of Life",6.06,4588
31909,Wakaba*Girl: Onsen Tsukaritai,"Comedy, Slice of Life",7.02,4284
16646,Hanamaru Youchien: Panda Neko Taisou,"Comedy, Kids, Music",6.34,1430
23537,Two Down Full Base,"Kids, Sports",6.38,57
12781,Yoshimoto Muchikko Monogatari,Comedy,5.62,88
10319,Chou Dendou Robo Tetsujin 28-gou FX,"Action, Adventure, Mecha, Sci-Fi",6.53,354
1168,Musekinin Kanchou Tylor OVA,"Adventure, Comedy, Drama, Military, Sci-Fi, Space",7.33,5006
4196,Ikkitousen: Great Guardians,"Action, Ecchi, Martial Arts, School, Super Power",6.96,37436
3561,Dennou Boukenki Webdiver,"Adventure, Mecha, Sci-Fi, Shounen",7.12,876
12091,X Bomber,"Action, Adventure, Kids, Mecha, Sci-Fi, Space",5.94,199
2977,Youjuu Sensen Adventure Kid,"Demons, Fantasy, Hentai, Horror",5.49,1152
2146,Canary,"Fantasy, Music, Romance, School",4.88,1212
3570,Yadosagashi,"Adventure, Fantasy, Kids, Slice of Life",6.6,1113
11553,Toradora!: Bentou no Gokui,"Comedy, Romance, School, Slice of Life",7.54,71433
32291,Kakegae no,Drama,5.27,103
3421,Kodomo no Omocha,"Comedy, Drama, School, Shoujo",7.24,3118
28925,Youkai Watch: Best 10,"Comedy, Kids, Supernatural",6.16,231
21845,Ushinawareta Mirai wo Motomete,"Drama, Romance, School, Sci-Fi",6.83,47565
12439,Soukou Kihei Votoms: Vol.1 Stories of the &#039;A.T. Votoms&#039;,"Action, Drama, Mecha, Military, Sci-Fi",6.6,289
3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",6.65,186
22977,Kaibutsu-kun: Kaibutsu Land e no Shoutai,"Comedy, Horror, Kids, Shounen",6.22,83
6981,Super Zugan,"Comedy, Game, Shounen",7.19,187
5200,Offside (TV),"Action, Drama, Sports",7.22,1232
16460,Perrine Monogatari Specials,"Drama, Historical, Kids, Shoujo, Slice of Life",6.53,111
24967,Ane Kyun!: Joshi ga Ie ni Kita!,Hentai,6.64,2696
33447,Piace: Watashi no Italian,"Comedy, Slice of Life",,1262
10790,Kore wa Zombie Desu ka? of the Dead,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",7.78,180032
16934,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,"Comedy, School",7.6,72085
2562,Shion no Ou,"Drama, Game, Mystery, Thriller",7.66,20553
6229,Konpeki no Kantai,"Action, Drama, Historical, Military",6.85,827
34497,Death March kara Hajimaru Isekai Kyousoukyoku,Fantasy,,240
28093,Hana wa Saku: Touhoku ni Saku,"Fantasy, Kids",6.18,557
18457,Hanasaka Jijii,"Comedy, Drama",5.36,206
10695,Yume Kui: Tsurumiku Shiki Game Seisaku,Hentai,6.87,4758
25541,Moom,Kids,6,100
11743,Toaru Majutsu no Index: Endymion no Kiseki,"Action, Magic, Sci-Fi, Super Power",7.71,54873
21925,Chichiiro Toiki,Hentai,7.1,4124
6401,ef: A Tale of Melodies. - Prologue,Music,7.43,13745
30651,Itoshi no Muco,"Comedy, Slice of Life",6.86,4272
4921,Ramayana: The Legend of Prince Rama,Adventure,7.4,517
9656,Kimi ni Todoke 2nd Season,"Romance, School, Shoujo, Slice of Life",8.17,171866
21763,Ari to Hato (1953),Kids,7.6,72
3557,Shoujo Auction,Hentai,6.12,1278
2150,Tanoshii Muumin Ikka,"Adventure, Comedy, Fantasy, Kids, Slice of Life",7.95,7761
3675,Andromeda Stories,"Action, Drama, Fantasy, Sci-Fi, Space",6.19,737
524,Onegaiâ˜†Twins: Natsu wa Owaranai,"Comedy, Drama, Romance",7.14,22614
8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",7.49,321477
397,Seikai no Senki II,"Action, Military, Romance, Sci-Fi, Space",7.97,13888
30205,Aoharu x Kikanjuu,"Action, Comedy, Shounen, Sports",7.29,97674
1160,Gundress,"Action, Mecha, Sci-Fi",5.69,2005
30907,Eine Kleine,"Drama, Music, Romance, Slice of Life",6.57,261
7048,Crush Gear Nitro,"Cars, Shounen, Sports",6.58,700
4614,Moero Arthur: Hakuba no Ouji,"Adventure, Drama, Historical, Romance",6.37,267
32384,The New A-Class.: Next Stage with YOU,"Cars, Music",5.24,342
22489,Hello Kitty no Hansel to Gretel,"Fantasy, Kids",5.76,117
16335,Muv-Luv Alternative: Total Eclipse Recap - Climax Chokuzen Special,"Action, Mecha, Military, Sci-Fi",6.28,5477
31109,Hatsukoi Monster,"Comedy, Romance, School, Shoujo",6.06,37238
1737,Uchuu Senshi Baldios,"Adventure, Drama, Mecha, Sci-Fi, Shounen, Space",6.79,600
12505,CÂ³ Special,"Action, Comedy, Ecchi, School, Supernatural",6.9,18468
30741,Hyoudou Ibuki: Kanpeki Ibuki Kaichou ga Kousoku Do M!? na Wake,Hentai,6.75,2568
17785,Jungle wa Itsumo Hare nochi Guu: Eizou Tokuten - Maboroshi no Pilot Film,Comedy,6.46,431
18419,Boku no Imouto wa &quot;Osaka Okan&quot;: Uchi no Oniichan wa Tokyo Rule,Comedy,5.98,2297
4173,Shigofumi Picture Drama,Comedy,6.75,2804
30013,Super Short Comics,"Comedy, Parody",5.15,260
3519,Garakuta-doori no Stain,Comedy,7.02,641
32740,Girls und Panzer der Film: Arisu War!,"Military, School",7.36,6548
1834,Dragon Knight 4,"Adventure, Fantasy, Hentai, Magic",5.98,1684
7079,Ookamikakushi,"Action, Horror, Mystery, Supernatural",6.47,51323
32831,Hungry to Win,"Action, Sports",4.43,97
2311,Shounen Kenya,Adventure,5.85,816
29870,Kagami,Romance,4.49,119
34321,Fate/Grand Order: First Order,"Action, Fantasy, Magic, Supernatural",,5005
1622,Kai Doh Maru,"Action, Fantasy, Historical, Magic",5.73,5712
29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,"Comedy, Drama, Slice of Life",7.88,3089
10448,Rain Town,Drama,7.38,12489
34048,Seoul-yeok,"Horror, Thriller",6.18,405
23097,Kousagi Monogatari,"Comedy, Kids",6.2,67
4786,Kodomo no Jikan Recap,"Comedy, Ecchi, School",7.09,8228
3183,MAPS: Densetsu no Samayoeru Seijin-tachi,"Action, Adventure, Drama, Sci-Fi, Shounen, Space",6.2,402
4966,Jigazou,Comedy,4.97,1152
3843,Ali Baba to 40-hiki no Touzoku,"Action, Fantasy",5.87,602
2193,Saiunkoku Monogatari Soushuuhen,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",7.41,3263
2868,Kazama Mana,Hentai,6.36,3252
4550,Hyakko,"Comedy, School, Slice of Life",7.34,33112
22503,Washimo,"Comedy, Kids, School, Sci-Fi, Slice of Life",5.92,209
2505,Ringetsu The Animation,Hentai,6.79,3512
16918,Gin no Saji,"Comedy, School, Shounen, Slice of Life",8.18,116261
6579,Chikyuu Bouei Kazoku Special,"Comedy, Kids, Mecha, School, Super Power",6.61,215
33099,Washimo 4th Season,"Comedy, Kids, School, Sci-Fi, Slice of Life",5.6,64
1393,Future GPX Cyber Formula Zero,"Drama, Sci-Fi, Shounen, Sports",7.7,1113
17491,Garden,Hentai,6.73,4334
31476,Wake up!! Tamala,"Fantasy, Psychological",5.54,123
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",8.3,142612
8595,Kotencotenco,"Adventure, Comedy, Fantasy, Kids, Magic",6.18,102
8645,Kitte no Nai Okurimono,"Kids, Music",5.09,223
12659,Nisoku Hokou,Music,6.86,1116
24603,Xiongmao Monogatari TaoTao,"Comedy, Fantasy, Kids",5.89,94
16187,"Marriage Blue: &quot;Konyakusha ga Iru no ni, Doushite Konna Otoko ni......&quot;",Hentai,6.32,1755
7330,Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess,"Adventure, Comedy, Kids",6.81,1201
29985,Kamen no Marionette-tachi,Dementia,6.75,61
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",8.27,103828
19489,Little Witch Academia: Mahoujikake no Parade,"Adventure, Comedy, Fantasy, Magic, School",7.92,53024
12699,Tales of Gekijou,Comedy,6.76,2853
4316,Nanami-chan 3rd Series,"Comedy, Kids",6.58,314
32511,Girls und Panzer: Nihon Senshadou Renmei News,Comedy,6.69,1134
16211,Bakumatsu Gijinden Roman,"Fantasy, Historical",6.2,7816
4849,Triangle Heart: Sazanami Joshi Ryo,Hentai,5.71,1549
10058,Sore Ike! Anpanman: Yuurei Sen wo Yattsukero!!,"Comedy, Fantasy, Kids",6.43,117
14407,Persona 3 the Movie 1: Spring of Birth,"Action, Fantasy, Seinen, Supernatural",7.83,45568
15731,Tamayura: More Aggressive,"Comedy, Drama, Slice of Life",7.54,10901
7953,Defend Love,"Adventure, Fantasy, Magic, Mecha, Music, Romance, Sci-Fi, Super Power, Supernatural",6.06,1162
20909,Kyoukai no Kanata: Mini Theater,"Slice of Life, Supernatural",6.82,15703
30444,Kana Kana Kazoku: Stop Rubella,Comedy,4.14,71
14199,Oniichan dakedo Ai Sae Areba Kankeinai yo ne!,"Comedy, Ecchi, Harem, Romance, School",6.78,113166
1696,Murder Princess,"Action, Adventure, Fantasy",7.14,39377
10889,Jungle Kurobee,Comedy,6.8,127
27847,Kyoushitsu wa Obake ga Ippai/Boku wa Yuusha da zo,"Fantasy, Kids, Supernatural",6.5,45
2998,Hi no Tori: Uchuu-hen,"Drama, Fantasy, Sci-Fi",7.19,1158
20581,Nekketsu Tantei Jimusho,"Comedy, Mystery, Parody",5.59,229
5607,Love Machine: Animaid Shoufu 23-gou,Hentai,5.64,384
5217,Goal FH: Field Hunter,"Action, Sports",7.07,737
3419,Sumomomo Momomo: Chijou Saikyou no Yome Specials,"Comedy, Ecchi, Martial Arts, Romance",7.08,7082
7109,Gyouten Ningen Batsealer,"Action, Adventure, Fantasy, Magic",7.01,201
6835,Umi no Mizu wa Naze Karai,Historical,5.8,531
3723,Koala Boy Kokki,Comedy,6.32,360
26261,Tabi no Kisetsu,"Drama, Kids",7,51
5883,Examurai Sengoku,"Action, Martial Arts, Samurai, Sci-Fi",6.65,2701
18045,Koi to Senkyo to Chocolate Special,"Drama, Romance, School",7.03,15430
18241,Himitsukessha Taka no Tsume MAX,"Comedy, Parody, Super Power",7,112
8609,Detective Conan OVA 10: Kid in Trap Island,"Adventure, Comedy, Mystery, Police, Shounen",7.95,7757
24875,Barnacle Lou,Kids,6.33,61
30024,SOS Kochira Chikyuu,"Drama, Kids",6.25,41
31261,Drill,Dementia,3.4,106
6604,Kuruneko,"Comedy, Slice of Life",7.63,2526
63,DearS,"Comedy, Ecchi, Harem, Romance, Sci-Fi",6.8,91037
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.31,14002
2594,Piano no Mori,"Adventure, Comedy, Drama, Music, School, Seinen",7.87,24278
12865,Ai wa KAT-TUN,Comedy,5.38,1513
9338,Ore no Sora Keiji-hen,"Action, Drama, Police",6,131
16395,SKET Dance OVA,"Comedy, School, Shounen",8.08,11342
34498,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Drama,,531
23107,GO-GO Tamagotchi!,"Comedy, Fantasy, Kids",7.17,198
2318,Dog Soldier,"Action, Military, Seinen",4.24,827
23047,Tennen Koi-iro Alcohol,Hentai,6.84,2571
20087,Treasure Gaust,Game,3.82,96
4033,The iDOLM@STER Live For You!,"Comedy, Drama, Music",6.32,6601
28843,Watashi no Kao,"Dementia, Horror",4.31,457
2441,Koihime,"Fantasy, Harem, Hentai, Magic, Supernatural",6.78,3092
2101,Singles,"Romance, Shoujo",5.32,161
6645,Chuu Bra!!,"Comedy, Ecchi, School",6.34,32470
4719,Queen&#039;s Blade: Rurou no Senshi,"Action, Adventure, Ecchi, Fantasy",6.32,51170
5178,First Squad: The Moment of Truth,"Action, Historical, Military, Super Power, Supernatural",6.16,25040
33215,Hikaru Genji: Taiyou ga Ippai,"Adventure, Music",3.73,59
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",8.75,88995
2483,Kaitouranma The Animation,"Action, Adventure, Martial Arts, Samurai",6.14,1512
1476,City Hunter: Hyakuman Dollar no Inbou,"Action, Comedy, Mystery, Shounen",7.55,2881
324,Mobile Police Patlabor: On Television,"Comedy, Mecha, Police, Sci-Fi",7.72,16130
29961,Feng Ji Yun Nu,"Action, Martial Arts",4.76,115
16570,Agigongryong Doolie (Movie),Kids,5.48,155
31927,Phantom of the Kill: Zero kara no Hangyaku,"Action, Adventure, Fantasy",6.39,4893
545,Mousou Kagaku Series: Wandaba Style,"Comedy, Sci-Fi",6.18,2077
10495,Yuru Yuri,"Comedy, School, Shoujo Ai, Slice of Life",7.7,148140
501,Doraemon,"Adventure, Comedy, Fantasy, Kids, Shounen",7.49,9366
4521,Watt Poe to Bokura no Ohanashi,"Adventure, Sci-Fi",6.46,179
32888,Sinbad,Adventure,5.09,452
5764,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,"Comedy, Ecchi, Fantasy, Harem, Magic",7.42,51816
28789,3-gatsu no Lion meets Bump of Chicken,"Drama, Music, Seinen",6.8,2160
9759,Future GPX Cyber Formula Graffiti,"Action, Sci-Fi, Sports",6.55,223
1281,Gakkou no Kaidan,"Horror, Mystery, Supernatural",7.71,42033
4549,Hokuto no Ken: Raoh Gaiden Ten no Haoh,"Action, Drama, Martial Arts",7.2,6659
995,Prince of Tennis: The National Tournament,"Action, Comedy, Shounen, Sports",8.09,25170
1234,Hand Maid Mai,"Comedy, Ecchi, Romance, Sci-Fi",6.21,2621
6385,Pokemon: Slowking no Ichinichi,"Fantasy, Kids",6.25,6090
6796,Kyuukyoku Choujin R,"Comedy, Sci-Fi",6.68,492
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",6.48,6995
10306,Umi Monogatari: Kanon to Iku Amamikoshima,Comedy,6.46,1087
2691,Gensei Shugoshin P-hyoro Ikka,"Adventure, Fantasy",6,150
30762,Soumubu Sououka Yamaguchi Roppeita: Saibanin Project Hajimemasu!,Slice of Life,4.93,52
6822,Ukkari PÃ©nÃ©lope (2009),"Comedy, Slice of Life",6.35,317
33320,Suijun Genten,,7,13
8792,Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,Comedy,6.26,6996
10055,Black Jack: Heian Sento,Shounen,6.61,1087
6773,Shakugan no Shana III (Final),"Action, Drama, Fantasy, Romance, Supernatural",7.73,133010
7032,Kitte no Gensou,Comedy,5,428
22101,Soredemo Sekai wa Utsukushii,"Adventure, Fantasy, Romance, Shoujo",7.8,99462
5835,Hanasakeru Seishounen,"Drama, Romance, Shoujo",7.9,37051
23733,Kosys! Kochira Keihime Tetsudou: Kouhou System-ka,"Comedy, Slice of Life",4.6,189
22247,Azumi Mammaâ˜…Mia,"Comedy, Kids",5.6,101
15051,Love Live! School Idol Project,"Music, School, Slice of Life",7.7,155281
32145,Peeping Life: The Perfect Extension Specials,"Comedy, Slice of Life",5.7,75
1075,Netrun-mon the Movie,Comedy,5.42,961
2119,Captain Tsubasa: Ayaushi! Zen Nihon Jr.,"Action, Shounen, Sports",6.88,2354
31091,Komori-san wa Kotowarenai!,"Comedy, School, Slice of Life",6.31,24377
1740,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,"Action, Drama, Police, Seinen",6.08,627
23519,Enbi,Hentai,6.27,1507
10039,Chinpui Specials,Comedy,5.7,87
2007,Dousou Kai Again,Hentai,5.8,1101
33768,Oide yo! Shiritsu Yarimakuri Gakuen,Hentai,6.79,1059
22683,Shiroishi no Yousei Pichi,"Fantasy, Historical, Kids",4.53,104
1564,Pokemon Advanced Generation,"Action, Adventure, Comedy, Fantasy, Kids",7.2,67386
30814,Landscape,Dementia,4.58,120
2759,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",8.21,194561
22859,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,Comedy,7.26,13238
29898,Plus 50000-nen,Sci-Fi,5.08,72
1199,Nintama Rantarou,"Comedy, Shounen",7.18,2255
8247,Bleach Movie 4: Jigoku-hen,"Action, Comedy, Shounen, Super Power, Supernatural",7.75,94074
10887,Dame Oyaji,Comedy,6.07,109
17233,The House,"Drama, Fantasy, Kids",6.76,242
32895,Chijoku no Seifuku,Hentai,6.89,1927
23369,Bakuman. 2nd Season Special,Comedy,7.02,6812
5305,Koihimeâ€ Musou OVA,"Comedy, Fantasy, School",6.75,7747
3037,GS Mikami: Gokuraku Daisakusen!!,"Comedy, Fantasy",6.78,1228
26293,Kokoro no Hanataba,Kids,7.5,46
13793,Fashion no Hajimari,Comedy,4.7,352
9944,Hime Galâ™¥Paradise,Shoujo,6.21,563
520,Marmalade Boy Movie,"Romance, Shoujo",7.5,5641
24713,Miss Monochrome: The Animation - Soccer-hen,"Comedy, Slice of Life, Sports",6.34,5455
2600,Juusenki L-Gaim II: Farewell My Lovely + Pentagona Doors,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen, Space",5.95,375
991,Usagi-chan de Cue!!,"Action, Comedy, Ecchi, Magic, Romance",5.79,3276
848,Jinki:Extend OVA,"Mecha, Sci-Fi",6.35,1985
371,Cardcaptor Sakura Movie 1,"Comedy, Drama, Fantasy, Magic, Shoujo",7.74,56327
32660,Petit Petit Muse,"Cars, Horror, Kids",8.14,78
13935,Houkago Midnighters,"Fantasy, Kids",6.54,847
15541,Namanaka Hyaku Percent!: Katamusubi no Shinpa,Hentai,6.86,3017
9890,Major: Message,"Comedy, Drama, Sports",8.36,12282
30723,Midori no Makibao Compilation OVA,"Comedy, Sports",5.56,50
2379,Tokubetsu Jugyou,Hentai,5.54,1430
280,Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo",7.04,1511
23137,Girls und Panzer Heartful Tank Disc Picture Drama,"Military, School",6.63,2296
1533,Ai Tenshi Densetsu Wedding Peach,"Adventure, Comedy, Magic, Romance, Shoujo",6.77,12536
23293,Lupin the IIIrd: Jigen Daisuke no Bohyou,"Action, Adventure, Comedy, Drama, Seinen",7.91,5939
18353,Hadakya no Otonosama,"Kids, Slice of Life",3.34,104
8525,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",7.95,284846
1594,Jigoku Shoujo Futakomori,"Horror, Mystery, Psychological, Supernatural",8.08,79816
33548,Babyshiba,Comedy,6.04,129
29235,Ninja Hattori-kun Plus Perman: Chounouryoku Wars,"Adventure, Martial Arts, Super Power",6.04,89
7314,Yona Yona Penguin,"Adventure, Fantasy, Kids",5.78,469
29359,Bazar dÃ© Gozarre,Comedy,4.67,58
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",9.37,200630
28929,Vampire Holmes,"Comedy, Mystery, Supernatural, Vampire",3.63,10403
15109,Cuticle Tantei Inaba,"Action, Comedy, Mystery, Shounen, Supernatural",7.45,50019
9335,Megane na Kanojo,"Comedy, Romance, School, Shounen",6.78,10119
3622,Ikusa Otome Suvia,"Fantasy, Hentai",6.6,2954
15879,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,"Action, Mecha",6.78,34964
8375,Chogattai Majutsu Robot Ginguiser,"Adventure, Mecha, Sci-Fi, Shounen",6.58,409
888,Megami Kouhosei,"Action, Mecha, Military, Sci-Fi, Space",6.55,14757
18939,Shimajirou Hesoka,"Adventure, Comedy, Fantasy, Kids, Magic",6.6,87
29987,Flicker Love No.1,Dementia,4.91,57
2820,Time Travel Tondekeman!,"Action, Adventure, Comedy, Kids",7.49,957
25055,Furifure The Animation,Hentai,6.37,1832
7453,AIKa Zero Picture Drama,Ecchi,5.79,2554
26345,Kogitsune no Okurimono,"Drama, Fantasy, Kids",6.5,52
965,Yoshinaga-san&#039;chi no Gargoyle,"Comedy, Fantasy, Slice of Life",6.9,3204
28833,Chain Chronicle: Haecceitas no Hikari,"Action, Adventure, Fantasy, Magic, Shounen",,5678
29673,Shin Tenchi Souzou,Comedy,5.44,129
22623,Pochacco no Ninjin Hata wa Oosawagi,"Fantasy, Kids",6.35,76
1208,Tatsu no Ko Tarou,"Adventure, Demons, Fantasy, Historical",7.07,1850
